n,p,J,E,Delta_E,State,Parity
6,3,13/2,"795,6",,,
6,3,15/2,"2043,6",,,
6,3,17/2,"1731,8",,,
6,3,17/2,"2031,9",,,
6,3,21/2,"2427,1",,,
6,3,23/2,"3103,9",,,
6,3,25/2,"3217,7",,,
6,3,29/2,"4243,2",,,
6,3,32/2,"5329,2",,,
6,3,35/2,"6190,5",,,
6,3,37/2,"6545,9",,,
6,3,37/2,"7011,33",,,
6,3,39/2,7402,,,
6,3,41/2,7772,,,
6,3,45/2,"9109,8",,,
7,3,8,0,,,
7,3,6,"103,7",,,
7,3,1,"144,1",,,
7,3,9,"494,09",,,
7,3,10,"99,72",,,
7,3,11,"1485,9",,,
7,3,12,"1938,56",,,
7,3,13,"2537,4",,,
7,3,14,"3167,77",,,
7,3,15,"3383,26",,,
7,3,15,"3593,08",,,
7,3,16,"4486,41",,,
7,3,17,"4512,12",,,
7,3,17,"4864,66",,,
7,3,18,"5599,18",,,
7,3,19,"5651,25",,,
7,3,20,"6455,27",,,
7,3,21/2,"6884,81",,,
8,3,9/2,0,,,
8,3,7/2,"394,51",,,
8,3,7/2,"698,91",,,
8,3,13/2,"892,9",,,
8,3,11/2,"1097,1",,,
8,3,11/2,"1532,62",,,
8,3,17/2,"1821,33",,,
8,3,15/2,"2044,84",,,
8,3,21/2,"2137,17",,,
8,3,23/2,"2767,98",,,
8,3,25/2,"3135,9",,,
8,3,25/2,"3345,43",,,
8,3,27/2,"4119,3",,,
8,3,29/2,"4354,52",,,
8,3,29/2,"4705,22",,,
8,3,31/2,"5090,26",,,
8,3,31/2,"5382,9",,,
8,3,33/2,"5268,1",,,
8,3,33/2,"5776,12",,,
8,3,33/2,"6192,16",,,
8,3,35/2,"5933,67",,,
8,3,37/2,"6452,35",,,
9,3,8,0,,,
9,3,8,"1502,86",,1,
9,3,6,"1502,86",,1,1
9,3,6,"213,75",,,
9,3,6,"626,3",,1,
9,3,6,"965,3",,1,
9,3,4,"270,09",,,
9,3,4,"626,3",,1,1
9,3,5,"389,19",,,
9,3,3,"529,42",,,
9,3,2,"576,88",,,
9,3,9,"686,14",,,
9,3,1,"711,33",,1,
9,3,1,"1443,86",,1,
9,3,1,"1796,54",,1,
9,3,10,"1355,48",,,
9,3,12,"2001,8",,,
9,3,13,"2664,7",,,
9,3,14,3301,,,
9,3,15,"3587,9",,,
9,3,0,"1161,91",,1,
4,4,0,0,,,
4,4,2,"616,2",,,
4,4,4,1416,,,
4,4,6,"2380,3",,,
4,4,8,"3480,8",,,
5,4,9/2,0,,,
5,4,13/2,"863,7",,,
5,4,17/2,"1917,4",,,
5,4,21/2,"2953,9",,,
5,4,25/2,"3302,5",,,
5,4,29/2,"4219,3",,,
5,4,33/2,"5309,4",,,
5,4,37/2,"6239,2",,,
6,4,0,0,,,
6,4,2,"738,1",,,
6,4,4,"1638,3",,,
6,4,6,"2802,2",,,
6,4,6,"2954,9",,,
6,4,8,"3036,3",,,
6,4,10,"3982,6",,,
6,4,12,"4958,3",,,
6,4,14,"5731,3",,,
6,4,16,6389,,,1
6,4,18,7417,,,1
6,4,20,"8622,3",,,
7,4,9/2,0,,,
7,4,7/2,46,,,
7,4,11/2,436,,,
7,4,11/2,"889,8",,,
7,4,11/2,1660,,,
7,4,13/2,"973,5",,,
7,4,17/2,1872,,,
7,4,17/2,2363,,,
7,4,15/2,2179,,,
7,4,21/2,"2369,4",,,
7,4,21/2,2799,,,
7,4,23/2,"2985,3",,,
7,4,25/2,"3192,5",,,
7,4,25/2,"3633,6",,,
7,4,27/2,"3969,8",,,
7,4,29/2,"4151,6",,,
7,4,31/2,5097,,,
7,4,33/2,"5108,8",,,
7,4,35/2,"5961,7",,,
7,4,37/2,6085,,,
7,4,41/2,"7515,2",,,
8,4,0,0,,,
8,4,2,"865,7",,,
8,4,4,"1854,9",,,
8,4,6,"2671,5",,,
8,4,8,"2833,9",,,
8,4,8,"2994,5",,,
8,4,10,"3798,2",,,
8,4,12,"4363,1",,,
8,4,13,5215,,,
8,4,14,"5281,9",,,
8,4,14,"5572,1",,,
8,4,15,"5658,1",,,
8,4,16,"5741,7",,,
8,4,16,"6145,3",,,
8,4,17,"6995,6",,,
8,4,18,"7504,2",,,
